Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
AU PAIN DORE,2023-04-20,C - Crucial,43.64773,-79.38022,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AU PAIN DORE,2023-11-10,C - Crucial,43.66272,-79.3862,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AYOKA-ADE AFRICAN DELICACIES INC,2024-01-11,C - Crucial,43.75125,-79.55202,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AYOKA-ADE AFRICAN DELICACIES INC,2024-01-11,C - Crucial,43.75125,-79.55202,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
Ababeel Supermarket,2022-09-15,C - Crucial,43.69127,-79.28955,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
Adonna's Residential Support Care Inc.,2023-02-14,C - Crucial,43.75425,-79.25007,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
Al-Nour Halal Meat and Grocery,2024-04-16,C - Crucial,43.79494,-79.23569,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
Aquarela Restaurant,2022-06-22,C - Crucial,43.72289,-79.49795,Fail to protect food from contamination or adulteration - Sec. 26(1) 
Aquarela Restaurant,2022-06-22,C - Crucial,43.72289,-79.49795,Fail to process food in manner safe to eat - Sec. 26(2)
Aquarela Restaurant,2022-06-22,C - Crucial,43.72289,-79.49795,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
Atithi Pure Veg,2022-10-19,C - Crucial,43.77565,-79.23043,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
Azad Supermarket,2022-12-09,C - Crucial,43.69539,-79.29308,Fail to protect food from contamination or adulteration - Sec. 26(1) 
B'NAI BRITH CANADA,2022-07-07,C - Crucial,43.75187,-79.43803,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
B'S SIZZLING KITCHEN,2022-08-24,C - Crucial,43.60389,-79.53696,Fail to ensure storage pallets designed to protect against contamination - Sec. 31
B.K. Natural Foods,2022-12-01,C - Crucial,43.7245,-79.30045,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BABOS DONER POINT,2024-04-04,C - Crucial,43.69331,-79.46186,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BABOS DONER POINT,2024-04-04,C - Crucial,43.69331,-79.46186,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BABOS DONER POINT,2024-04-04,C - Crucial,43.69331,-79.46186,Fail to process food in manner safe to eat - Sec. 26(2)
BABU CATERING & TAKE OUT,2023-02-14,C - Crucial,43.79172,-79.25058,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
BABU CATERING & TAKE OUT,2023-02-14,C - Crucial,43.79172,-79.25058,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAGELS ON FIRE,2023-06-27,C - Crucial,43.67303,-79.28682,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAHARAK MARKET,2023-04-20,C - Crucial,43.74155,-79.31817,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAHARAK MARKET,2024-03-19,C - Crucial,43.74155,-79.31817,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAHARAK MARKET,2024-03-19,C - Crucial,43.74155,-79.31817,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BAHN MI VINA,2024-04-25,C - Crucial,43.64921,-79.4234,Fail to obtain food from source subject to inspection - Sec. 29(1)  
BAHN MI VINA,2024-04-25,C - Crucial,43.64921,-79.4234,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-06-16,C - Crucial,43.80923,-79.26932,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-09-11,C - Crucial,43.80923,-79.26932,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-11-02,C - Crucial,43.80923,-79.26932,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
BAKER DUCK,2023-11-02,C - Crucial,43.80923,-79.26932,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAKER DUCK,2023-11-02,C - Crucial,43.80923,-79.26932,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-11-06,C - Crucial,43.80923,-79.26932,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
BAKER DUCK,2023-11-06,C - Crucial,43.80923,-79.26932,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKERY ON THE GO,2022-09-02,C - Crucial,43.71161,-79.27947,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BALA SUPERMARKET,2022-08-08,C - Crucial,43.64053,-79.4369,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAMIYAN KABOB,2023-06-22,C - Crucial,43.70779,-79.34348,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAMIYAN KABOB,2023-06-22,C - Crucial,43.70779,-79.34348,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BAMIYAN KABOB,2023-06-22,C - Crucial,43.70779,-79.34348,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BANH CUON TO THANH,2024-03-14,C - Crucial,43.67417,-79.46136,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANH MI BA LE,2023-05-02,C - Crucial,43.65278,-79.39913,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANH MI BOYS,2023-11-16,C - Crucial,43.70921,-79.39861,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BANJARA INDIAN CUISINE,2023-02-15,C - Crucial,43.6629,-79.42184,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BANJARA INDIAN CUISINE,2023-10-17,C - Crucial,43.6629,-79.42184,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANJARA INDIAN CUISINE,2024-01-08,C - Crucial,43.72173,-79.25609,Food premise maintained in manner to permit contamination of single-service containers - Sec. 7(1)(h)  
BANJARA INDIAN CUISINE,2024-01-08,C - Crucial,43.72173,-79.25609,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANQUET BURGER,2023-08-24,C - Crucial,43.66167,-79.42785,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BANTAMA SUPERMARKET,2024-05-01,C - Crucial,43.75362,-79.54227,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAO BAO EXPRESS/ KUNG FU TEA,2023-07-11,C - Crucial,43.6507,-79.47936,Store ice in unsanitary manner - Sec.  26(5) 
BAR BURRITO,2023-03-20,C - Crucial,43.67768,-79.44531,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BAR ST. LO,2023-10-11,C - Crucial,43.64901,-79.37213,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BARCODE CAFE,2023-07-06,C - Crucial,43.68795,-79.34849,Store ice in unsanitary manner - Sec.  26(5) 
BARGAIN STOP,2022-09-21,C - Crucial,43.70041,-79.51789,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BARNSTEINER'S,2023-04-12,C - Crucial,43.68554,-79.39342,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BARNSTEINER'S,2023-04-12,C - Crucial,43.68554,-79.39342,Store ice in unsanitary manner - Sec.  26(5) 
BAYCREST - KITCHEN,2024-01-16,C - Crucial,43.73006,-79.43415,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAYCREST - KITCHEN,2024-01-16,C - Crucial,43.73006,-79.43415,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BAYCREST W.A CAFE,2023-03-14,C - Crucial,43.73006,-79.43415,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BAYCREST W.A CAFE,2023-03-14,C - Crucial,43.73006,-79.43415,Store ice in unsanitary manner - Sec.  26(5) 
BAYCREST W.A CAFE,2023-06-29,C - Crucial,43.73006,-79.43415,Store ice in unsanitary manner - Sec.  26(5) 
