Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
BAHARAK MARKET,2024-03-19,C - Crucial,43.741277221493625,-79.31784329734498,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BAHN MI VINA,2024-04-25,C - Crucial,43.64892931878579,-79.42377478124891,Fail to obtain food from source subject to inspection - Sec. 29(1)  
BAHN MI VINA,2024-04-25,C - Crucial,43.6497734661674,-79.42321928343151,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-06-16,C - Crucial,43.80879239404714,-79.26878140299988,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-09-11,C - Crucial,43.80966656421162,-79.26933228243443,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-11-02,C - Crucial,43.809425896982376,-79.26903790733734,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
BAKER DUCK,2023-11-02,C - Crucial,43.80885303932602,-79.26908909213627,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAKER DUCK,2023-11-02,C - Crucial,43.808929219853894,-79.26885017441826,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKER DUCK,2023-11-06,C - Crucial,43.80891262773884,-79.2693202435751,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
BAKER DUCK,2023-11-06,C - Crucial,43.80976173751319,-79.26926075821265,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAKERY ON THE GO,2022-09-02,C - Crucial,43.711731478826344,-79.27971580319075,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BALA SUPERMARKET,2022-08-08,C - Crucial,43.64054568148094,-79.4366785682373,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAMIYAN KABOB,2023-06-22,C - Crucial,43.708032023240584,-79.34372255515522,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAMIYAN KABOB,2023-06-22,C - Crucial,43.707544581898446,-79.34304896225598,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BAMIYAN KABOB,2023-06-22,C - Crucial,43.70809624092309,-79.34386388239125,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BANH CUON TO THANH,2024-03-14,C - Crucial,43.673892899445065,-79.46113198884079,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANH MI BA LE,2023-05-02,C - Crucial,43.65309478794384,-79.39948664146404,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANH MI BOYS,2023-11-16,C - Crucial,43.70914298949007,-79.39909860032375,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BANJARA INDIAN CUISINE,2023-02-15,C - Crucial,43.66229119619988,-79.42134198557724,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BANJARA INDIAN CUISINE,2023-10-17,C - Crucial,43.66325918130289,-79.42152879793595,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BANJARA INDIAN CUISINE,2024-01-08,C - Crucial,43.721823686383765,-79.25569064110951,Food premise maintained in manner to permit contamination of single-service containers - Sec. 7(1)(h)  
